Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,3,NaiveBayes,Yes,No,Yes,60.602409638554214,0.12087912087912088,0.55,0.8085173501577287,0.1558720306291151,11.0,80.0,554.0,9.0
storm,3,IBk,Yes,No,Yes,60.602409638554214,0.13725490196078433,0.35,0.6428627760252366,0.16029193134207256,7.0,44.0,590.0,13.0
storm,4,RandomForest,No,No,No,69.8359276398822,0.16666666666666666,0.1111111111111111,0.8416785884597043,0.11557073726159911,2.0,10.0,689.0,16.0
storm,4,NaiveBayes,No,No,No,69.8359276398822,0.0625,0.2777777777777778,0.7721347957399459,0.06366307541625843,5.0,75.0,624.0,13.0
storm,4,IBk,No,No,No,69.8359276398822,0.14634146341463414,0.3333333333333333,0.8278890478461294,0.17459034462488005,6.0,35.0,664.0,12.0
storm,4,RandomForest,Yes,No,No,69.8359276398822,0.058823529411764705,0.05555555555555555,0.820894929264028,0.03357431687293237,1.0,16.0,683.0,17.0
storm,4,NaiveBayes,Yes,No,No,69.8359276398822,0.05,0.16666666666666666,0.6694881576855826,0.039839303649146354,3.0,57.0,642.0,15.0
storm,4,IBk,Yes,No,No,69.8359276398822,0.10810810810810811,0.2222222222222222,0.806549038308695,0.11558145027950537,4.0,33.0,666.0,14.0
storm,4,RandomForest,Yes,SMOTE,No,70.84180561203742,0.09302325581395349,0.2222222222222222,0.8264186933714831,0.09926758159709892,4.0,39.0,660.0,14.0
storm,4,NaiveBayes,Yes,SMOTE,No,70.84180561203742,0.06306306306306306,0.3888888888888889,0.75862343029725,0.06827350079663673,7.0,104.0,595.0,11.0
storm,4,IBk,Yes,SMOTE,No,70.84180561203742,0.0625,0.3333333333333333,0.7863614687649022,0.06576224419406758,6.0,90.0,609.0,12.0
storm,4,RandomForest,Yes,UnderSampling,No,69.8359276398822,0.059907834101382486,0.7222222222222222,0.8334128119535845,0.06739978715856688,13.0,204.0,495.0,5.0
storm,4,NaiveBayes,Yes,UnderSampling,No,69.8359276398822,0.02608695652173913,1.0,0.6910268637736449,0.002013272686600547,18.0,672.0,27.0,0.0
storm,4,IBk,Yes,UnderSampling,No,69.8359276398822,0.044715447154471545,0.6111111111111112,0.6598712446351931,0.03834131417930316,11.0,235.0,464.0,7.0
storm,4,RandomForest,Yes,No,Yes,69.8359276398822,0.08620689655172414,0.2777777777777778,0.8061516452074392,0.09697732997481051,5.0,53.0,646.0,13.0
storm,4,NaiveBayes,Yes,No,Yes,69.8359276398822,0.058823529411764705,0.3888888888888889,0.6694881576855826,0.061248602905955817,7.0,112.0,587.0,11.0
storm,4,IBk,Yes,No,Yes,69.8359276398822,0.12195121951219512,0.2777777777777778,0.806549038308695,0.1394665295025344,5.0,36.0,663.0,13.0
storm,5,RandomForest,No,No,No,74.74842767295597,0.1111111111111111,0.4,0.86751269035533,0.1490322940487485,6.0,48.0,740.0,9.0
storm,5,NaiveBayes,No,No,No,74.74842767295597,0.11764705882352941,0.13333333333333333,0.738663282571912,0.1072818232351305,2.0,15.0,773.0,13.0
storm,5,IBk,No,No,No,74.74842767295597,0.14285714285714285,0.4,0.881429780033841,0.18817820314079703,6.0,36.0,752.0,9.0
storm,5,RandomForest,Yes,No,No,74.74842767295597,0.12903225806451613,0.26666666666666666,0.8475465313028765,0.15257720506554176,4.0,27.0,761.0,11.0
storm,5,NaiveBayes,Yes,No,No,74.74842767295597,0.2,0.06666666666666667,0.5305414551607445,0.09151477058454088,1.0,4.0,784.0,14.0
storm,5,IBk,Yes,No,No,74.74842767295597,0.17073170731707318,0.4666666666666667,0.8838832487309645,0.22890850061731202,7.0,34.0,754.0,8.0
storm,5,RandomForest,Yes,SMOTE,No,75.51829268292683,0.11666666666666667,0.4666666666666667,0.8828680203045686,0.16160890029953007,7.0,53.0,735.0,8.0
storm,5,NaiveBayes,Yes,SMOTE,No,75.51829268292683,0.2,0.06666666666666667,0.6363790186125211,0.09151477058454088,1.0,4.0,784.0,14.0
storm,5,IBk,Yes,SMOTE,No,75.51829268292683,0.14285714285714285,0.5333333333333333,0.8973350253807106,0.20183254115988608,8.0,48.0,740.0,7.0
storm,5,RandomForest,Yes,UnderSampling,No,74.74842767295597,0.05714285714285714,0.8,0.8307529610829103,0.07439139784946228,12.0,198.0,590.0,3.0
storm,5,NaiveBayes,Yes,UnderSampling,No,74.74842767295597,0.043478260869565216,0.13333333333333333,0.4828257191201354,0.038484969434699506,2.0,44.0,744.0,13.0
storm,5,IBk,Yes,UnderSampling,No,74.74842767295597,0.06074766355140187,0.8666666666666667,0.8171742808798647,0.08146866741422347,13.0,201.0,587.0,2.0
storm,5,RandomForest,Yes,No,Yes,74.74842767295597,0.10606060606060606,0.4666666666666667,0.8536802030456853,0.14686900401186095,7.0,59.0,729.0,8.0
storm,5,NaiveBayes,Yes,No,Yes,74.74842767295597,0.03076923076923077,0.13333333333333333,0.5305414551607445,0.02026007384812951,2.0,63.0,725.0,13.0
storm,5,IBk,Yes,No,Yes,74.74842767295597,0.17391304347826086,0.5333333333333333,0.8838832487309645,0.24090918639581485,8.0,38.0,750.0,7.0
storm,6,RandomForest,No,No,No,77.86483839373163,0.1,0.09090909090909091,0.7727272727272727,0.07377049180327958,2.0,18.0,864.0,20.0
storm,6,NaiveBayes,No,No,No,77.86483839373163,0.07751937984496124,0.45454545454545453,0.836142032570604,0.0948115082398263,10.0,119.0,763.0,12.0
storm,6,IBk,No,No,No,77.86483839373163,0.06382978723404255,0.13636363636363635,0.7679602143887858,0.05564767526696398,3.0,44.0,838.0,19.0
storm,6,RandomForest,Yes,No,No,77.86483839373163,0.14285714285714285,0.09090909090909091,0.7512626262626263,0.09396141317965408,2.0,12.0,870.0,20.0
storm,6,NaiveBayes,Yes,No,No,77.86483839373163,0.05714285714285714,0.09090909090909091,0.8030560709132137,0.041529967192126795,2.0,33.0,849.0,20.0
storm,6,IBk,Yes,No,No,77.86483839373163,0.08888888888888889,0.18181818181818182,0.7774427952999382,0.08964293029289297,4.0,41.0,841.0,18.0
storm,6,RandomForest,Yes,SMOTE,No,78.471064539176,0.0967741935483871,0.13636363636363635,0.8019738198309627,0.08722179255821878,3.0,28.0,854.0,19.0
storm,6,NaiveBayes,Yes,SMOTE,No,78.471064539176,0.08064516129032258,0.45454545454545453,0.8282312925170068,0.09977238239757177,10.0,114.0,768.0,12.0
storm,6,IBk,Yes,SMOTE,No,78.471064539176,0.09230769230769231,0.2727272727272727,0.7972582972582972,0.10539927165250493,6.0,59.0,823.0,16.0
storm,6,RandomForest,Yes,UnderSampling,No,77.86483839373163,0.052980132450331126,0.7272727272727273,0.7910740053597196,0.05593545249062994,16.0,286.0,596.0,6.0
storm,6,NaiveBayes,Yes,UnderSampling,No,77.86483839373163,0.052884615384615384,0.5,0.8033137497423212,0.05401271834500511,11.0,197.0,685.0,11.0
storm,6,IBk,Yes,UnderSampling,No,77.86483839373163,0.032640949554896145,0.5,0.6091269841269841,0.016337969958799707,11.0,326.0,556.0,11.0
storm,6,RandomForest,Yes,No,Yes,77.86483839373163,0.07142857142857142,0.09090909090909091,0.7253401360544217,0.054221251819504934,2.0,26.0,856.0,20.0
storm,6,NaiveBayes,Yes,No,Yes,77.86483839373163,0.07291666666666667,0.3181818181818182,0.8030560709132137,0.0823051694518196,7.0,89.0,793.0,15.0
storm,6,IBk,Yes,No,Yes,77.86483839373163,0.08695652173913043,0.18181818181818182,0.7774427952999382,0.08760597496972171,4.0,42.0,840.0,18.0
storm,7,RandomForest,No,No,No,74.88082141547488,0.10869565217391304,0.07462686567164178,0.561373867424199,0.05069763061232629,5.0,41.0,1262.0,62.0
